"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\App.js", "JavaScript", 32, 0, 0, 6, 38
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\Login\ForgotPassword.js", "JavaScript", 43, 0, 0, 6, 49
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\Login\Login.js", "JavaScript", 46, 0, 0, 5, 51
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\Login\Signup.js", "JavaScript", 61, 0, 0, 8, 69
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\Private\Calendar\Calendar.js", "JavaScript", 102, 0, 0, 19, 121
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\Private\Calendar\CalendarDay.js", "JavaScript", 142, 0, 1, 20, 163
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\Private\Calendar\CalendarEvent.js", "JavaScript", 49, 0, 0, 9, 58
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\Private\Calendar\EventDisplay.js", "JavaScript", 34, 0, 0, 6, 40
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\Private\Contracts\Contracts.js", "JavaScript", 9, 0, 0, 2, 11
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\Private\Profile.js", "JavaScript", 7, 0, 0, 2, 9
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\Private\Sessions\SessionTypeList.js", "JavaScript", 33, 0, 0, 6, 39
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\Private\Sessions\SessionTypeModal.js", "JavaScript", 116, 0, 0, 17, 133
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\Private\Sessions\Sessions.js", "JavaScript", 19, 0, 0, 5, 24
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\Private\Sessions\TypeTableItem.js", "JavaScript", 29, 0, 0, 9, 38
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\ProfileNavbar.js", "JavaScript", 33, 0, 1, 6, 40
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\SiteNavbar.js", "JavaScript", 26, 0, 1, 7, 34
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\Utility\DynamicRoute.js", "JavaScript", 41, 0, 0, 4, 45
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\Utility\ListLink.js", "JavaScript", 12, 0, 0, 3, 15
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\Utility\Modal.js", "JavaScript", 15, 0, 0, 3, 18
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\components\Website\Home.js", "JavaScript", 8, 0, 0, 3, 11
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\contexts\AuthContext.js", "JavaScript", 80, 0, 4, 22, 106
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\firebase.js", "JavaScript", 15, 0, 0, 2, 17
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\index.js", "JavaScript", 9, 0, 0, 2, 11
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\styles\calendar.css", "CSS", 0, 199, 6, 44, 249
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\styles\react-contextmenu.css", "CSS", 0, 75, 0, 10, 85
"e:\Programming\VisualStudio\Projects\bookingcalendar-mern\frontend\src\styles\style.css", "CSS", 0, 408, 8, 78, 494
"Total", "-", 961, 682, 21, 304, 1968